HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
SMITH CREEK (in NV0606),NV0688,0,0,,,,,0,,,,0,,,,
SONOMA RANGE,NV0223,150099,212589,,,,,0,,,,0,,,April 1987,
SOUTH PANCAKE,NV0692,75109,75109,,,,,0,,,,0,,,,
SOUTH SLUMBERING HILLS,NV0230,15797,30096,,,,,0,,,,0,,,December 1985,
SPRING MOUNTAIN (in NV0504 & NV0507),NV0525,342123,356592,,,,,0,,,,0,,,,
TOANO,NV0110,43811,67680,,,,,168,,,,0,,,October 1993,
TRINITY RANGE,NV0232,105759,161457,,,,,0,,,,0,,,December 2005,
TRUCKEE RANGE,NV0213,93318,171070,,,,,0,,,,0,,,,
TULE RIDGE/MAHOGANY FLAT,NV0319,4176,4404,,,,,0,,,,0,,,,
UPPER HOT CREEK,NV0693,88134,89196,,,,,0,,,,0,,,,
WHITE RIVER,NV0409,118633,118633,,,,,140,,,,0,,,February 2005,
WILLOW CREEK (in NV0618),NV0699,0,0,,,,,0,,,,0,,,,
WILSON CREEK,NV0404,0,0,,,,,0,,,,0,,,February 2007,
OUTSIDE OF HERD AREAS,NV000Z,0,0,,,,,57,,,,15,,,August 2007,
BORDO ATRAVESADO,NM0001,16486,19614,16486,19614,60,,102,,0,,0,,,August 2005,2005
CARRACAS MESA*(3),NM0003,8019,8998,8019,8998,23,,12,,0,,0,,,,
GODFREY HILLS,NM0002,9405,27106,,,,,0,,,,0,,,,
PUNCHE VALLEY,NM0004,54743,70809,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,,,,,0,,,,0,,,April 1995,
BEATYS BUTTE,OR0002,399185,438022,399185,438022,250,,419,,0,,0,,,August 2007,2004
COLD SPRING,OR0013,29877,32665,29877,32665,150,,130,,0,,0,,,July 2005,2005
COYOTE LAKE/ALVORD TULE SPRINGS,OR0014,611976,658952,552780,588429,390,,150,,0,,0,,,November 2008,2008
HOG CREEK,OR0011,21816,22382,21816,22382,50,,123,,0,,0,,,September 2003,2003
JACKIES BUTTE,OR0015,120900,123767,65211,65251,150,,90,,0,,0,,,October 2007,2008
KIGER,OR0010,0,0,26626,30300,82,,61,,0,,0,,,October 2007,2008
LIGGETT TABLE,OR0037,28139,28853,28139,28853,25,,46,,0,,0,,,July 2006,2006
PAISLEY DESERT,OR0001,328050,335748,297764,303974,150,,245,,0,,0,,,November 2003,2004
